 Stealth Mango and Tangelo 
1.php Group
2889
4HCrew
ALLANITE
ALUMINUM
ALUMINUM SARATOGA
ANTHROPOID SPIDER
APT 1
APT 10
APT 12
APT 14
APT 15
APT 16
APT 17
APT 18
APT 19
APT 2
APT 20
APT 21
APT 22
APT 23
APT 26
APT 27
APT 28
APT 29
APT 3
APT 30
APT 31
APT 32
APT 33
APT 34
APT 35
APT 36
APT 37
APT 38
APT 39
APT 4
APT 40
APT 41
APT 6
APT 9
APT-2
APT-32
APT-C-00
APT-C-06
APT-C-09
APT-C-12
APT-C-17
APT-C-23
APT-C-26
APT-C-27
APT-C-34
APT-C-35
APT-C-36
APT-C-38 (QiAnXin)
APT-C-39
APT-C-43
APT.3102
APT.Naikon
APT1
APT10
APT12
APT14
APT15
APT16
APT17
APT18
APT19
APT2
APT20
APT21
APT22
APT23
APT26
APT27
APT28
APT29
APT3
APT30
APT31
APT32
APT33
APT34
APT35
APT36
APT37
APT38
APT39
APT4
APT40
APT41
APT5
APT6
Admin338
Advanced Persistent Threat 1
Ajax Security Team
AjaxSecurityTeam
Alibaba
Allanite
Ambiorx
Anchor Panda
Andariel
Andromeda Spider
Anger Bear
Animal Farm
Anunak
Appin
Appleworm
Arid Viper
AridViper
Aslan Neferler Tim
Attor
Aurora Panda
Axiom
Ayyıldız Tim
BARIUM
BISMUTH
BLACKGEAR
BORON
BRONZE ATLAS
BRONZE BUTLER
BRONZE EDISON
BRONZE ELGIN
BRONZE EXPORT
BRONZE EXPRESS
BRONZE FIRESTONE
BRONZE FLEETWOOD
BRONZE GENEVA
BRONZE GLOBE
BRONZE HOBART
BRONZE HUNTLEY
BRONZE KEYSTONE
BRONZE MAYFAIR
BRONZE MOHAWK
BRONZE OLIVE
BRONZE OVERBROOK
BRONZE PALACE
BRONZE PRESIDENT
BRONZE RIVERSIDE
BRONZE UNION
BRONZE VINEWOOD
BRONZE WALKER
BRONZE WOODLAND
Bahamut
BeeBus
Beijing Group
Berserk Bear
Berserker Bear
Big Panda
Black Banshee
Black Energy
Black Vine
BlackEnergy
BlackOasis
BlackTech
Blackfly
Blackgear
Blind Eagle
Blue Mushroom
Blue Termite
Bluenoroff
Boss Spider
Boulder Bear
Boyusec
Bronze Butler
Bronze Union
Brown Fox
Buckeye
Budminer
Budminer cyberespionage group
BuhTrap
Bureau 121
Butterfly
Byzantine Candor
C-Major
C0d0so
CCA
CHRYSENE
CIRCUIT PANDA
CLOCKWORD SPIDER
COBALT DICKENS
COBALT EDGEWATER
COBALT HICKMAN
COBALT JUNO
COBALT KATANA
COBALT LYCEUM
COBALT TRINITY
COBALT ULSTER
COPPER FIELDSTONE
COVELLITE
CVNX
CactusPete
Cadelle
Calc Team
Callisto
Calypso
Calypso APT
Calypso group
Camerashy
Carbanak
Carbon Spider
Careto
Chafer
Charming Kitten
Chinastrats
Cleaver
Clever Kitten
Cloud Atlas
Cloud Hopper
Cloudy Omega
Cobalt
Cobalt Dickens
Cobalt Gang
Cobalt Group
Cobalt Gypsy
