ADVSTORESHELL
AGENT.ABQMR
AGENT.AQUP.DROPPER
AGENT.BMZA
AGENT.GUNZ
ALMA Communicator
ANEL
APT.Backdoor.SHUTTERSPEED
APT.Backdoor.Win.DOGCALL
APT.Downloader.SLOWDRIFT
APT.InfoStealer.Win.CORALDECK
AURIGA
AZZY
Acecard
Adwind
Agent ORM
Agent Tesla
Agent.ALQHI
Agent.BTZ
Agent.dhwf
Agent.dne
Akbot
AlienSpy
Amavaldo
AmmyAdmin
Anchor Panda
AndroMut
Andromeda
Arp
Atros2.CKPN
August
August Stealer
Aumlib
Aurora
Autochk Rootkit
BANGAT
BASHLITE
BISCUIT
BISKVIT
BITSAdmin
BKDR_EVILOGE
BKDR_HGDER
BKDR_HUPIGON
BKDR_LODORAT
BKDR_NVICM
BOUNCER
BS2005
BUGJUICE
BabaYaga
Babar
BabyShark
BackDoor-FBZT!52D84425CDF2
BackDoor-FDU
Backdoor.APT.Karae
Backdoor.APT.POORAIM
Backdoor.APT.WINERACK
Backdoor.Dripion
Backdoor.FSZO-5117
Backdoor.Tinybaron
Backdoor.Win32.PoisonIvy
Backdoor:Java/Adwind
Backspace
Badey
Badnews
BaneChant
Bankosy
Bankshot
Banload
Barlaiy
Bateleur
Bedep
Beds Protector
BigBoss
Bisonal
BlackEnergy
BlackOasis
Blackshades
Bladabindi
Bookworm
Brambul
Brushaloader
Bunny
Bushaloader
CALENDAR
CARROTBALL
CHOPSTICK
CMStar
COMBOS
COMpfun
COOKIEBAG
CORALDECK
CORESHELL
CTRat
CUTLET MAKER
CWoolger
Cachedump
Cadelspy
Carberplike
Cardinal RAT
Carp Downloader
Casper
Caterpillar WebShell
CertMig
Chainshot
Chanitor
Cheshire Cat
China Chopper
Chrysaor
ClipboardWalletHijacker
CoalaBot
Cobalt Strike
CoinMiner
ComRat
ConfuserEx
Covenant
Cowboy
CowerSnail
CpuMeaner
CrackMapExec
Cridex
Crimson
Cromptui
CroniX
DAIRY
DDKONG
DHS2015
DOGCALL
DOPU
DRIFTPIN
DaVinci
Dander Spritz
DanderSpritz
Dark Comet
Dark Pulsar
DarkPulsar
DarthMiner
DePriMon
DealPly
DenesRAT
Derusbi
Digmine
Dimnie
Disgufa
DiskWriter
DistTrack
DoubleFantasy
DownRage
DownRange
Downdelph
Downloader-FGO
Downloader.APT.HAPPYWORK
Dridex
Dripion
Drovorub
Duqu
Dustman
EAGERLEVER
EARLYSHOVEL
EASYBEE
EASYFUN
EASYPI
EBBISLAND (EBBSHAVE)
ECHOWRECKER
ECLIPSEDWING
EDUCATEDSCHOLAR
ELF_IMEIJ
EMERALDTHREAD
EMPHASISMINE
ENGLISHMANSDENTIST
EPICHERO
ERRATICGOPHER
ERRATICGOPHERTOUCH
ESKIMOROLL
ESSAYKEYNOTE
ESTEEMAUDIT
ETCETERABLUE
ETERNALBLUE
ETERNALCHAMPION
ETERNALROMANCE
ETERNALSYNERGY
ETRE
EVADEFRED
EVILNUM
EVILTOSS
EWOKFRENZY
EXL
EXPIREDPAYCHECK
EXPLODINGCAN
Elirks
Elise
Elise Backdoor
Emdivi
Emotet
Empire
Empye
Empyre
EngineBox Malware
Epic Turla
EquationDrug
EquationLaser
Escad
Etso
Etumbot
EvilGrab
Exaramel
Exforel
Expand
Exploit.APT.RICECURRY
Explosive
Exploz
EyePyramid Malware
FAKEM
FASTCash
FE_APT_Backdoor_Karae
FE_APT_Backdoor_Karae_enc
FE_APT_Backdoor_SHUTTERSPEED
FE_APT_Backdoor_WINERACK
FE_APT_Backdoor_Win32_DOGCALL_1
FE_APT_Downloader_HAPPYWORK
FE_APT_Downloader_Win32_GELCAPSULE_1
